揉む<div class="hint">rub; massage</div>,もむ,rub; massage,<ruby>肩<rt>かた</rt></ruby>を <ruby>揉<rt>も</rt></ruby>んでください。,Please massage my shoulders.,verb
火星<div class="hint">Mars</div>,かせい,Mars,<ruby>火星<rt>かせい</rt></ruby>は <ruby>地球<rt>ちきゅう</rt></ruby>の <ruby>隣<rt>となり</rt></ruby>の <ruby>惑星<rt>わくせい</rt></ruby>だ。,Mars is a neighboring planet of Earth.,
自衛<div class="hint">self-defense</div>,じえい,self-defense,<ruby>米国<rt>べいこく</rt></ruby>では <ruby>自衛<rt>じえい</rt></ruby>のための <ruby>銃<rt>じゅう</rt></ruby>の <ruby>保持<rt>ほじ</rt></ruby>を <ruby>認<rt>みと</rt></ruby>めている。,The United States recognizes possession of guns for self defense.,
不振<div class="hint">dullness; slump</div>,ふしん,dullness; slump,あの <ruby>会社<rt>かいしゃ</rt></ruby>は <ruby>最近<rt>さいきん</rt></ruby> <ruby>営業<rt>えいぎょう</rt></ruby> <ruby>不振<rt>ふしん</rt></ruby>だ。,That company's business is in a slump recently.,
ミックス<div class="hint">mix; mixture</div>,みっくす,mix; mixture,<ruby>果物<rt>くだもの</rt></ruby>のミックスジュースを <ruby>飲<rt>の</rt></ruby>んだ。,I drank mixed fruit juice.,
動揺<div class="hint">shaking; turbulence</div>,どうよう,shaking; turbulence,<ruby>彼女<rt>かのじょ</rt></ruby>はその <ruby>知<rt>し</rt></ruby>らせを <ruby>聞<rt>き</rt></ruby>いて <ruby>激<rt>はげ</rt></ruby>しく <ruby>動揺<rt>どうよう</rt></ruby>した。,She trembled violently on hearing the news.,
神話<div class="hint">myth; mythology</div>,しんわ,myth; mythology,<ruby>竜<rt>りゅう</rt></ruby>は <ruby>神話<rt>しんわ</rt></ruby>に <ruby>出<rt>で</rt></ruby>て <ruby>来<rt>く</rt></ruby>る <ruby>生き<ruby>物<rt>いきもの</rt></ruby>です。,Dragons are mythical creatures that appear in stories.,
神父<div class="hint">Father; priest</div>,しんぷ,Father; priest,<ruby>神父<rt>しんぷ</rt></ruby>は <ruby>毎朝<rt>まいあさ</rt></ruby> <ruby>神<rt>かみ</rt></ruby>に <ruby>祈<rt>いの</rt></ruby>りをささげる。,The priest prays to God every morning.,
神秘<div class="hint">mystery</div>,しんぴ,mystery,その <ruby>番組<rt>ばんぐみ</rt></ruby>では <ruby>自然<rt>しぜん</rt></ruby>の <ruby>神秘<rt>しんぴ</rt></ruby>を <ruby>紹介<rt>しょうかい</rt></ruby>する。,That program tells us about the mysteries of nature.,
密度<div class="hint">density</div>,みつど,density,<ruby>東京<rt>とうきょう</rt></ruby>は <ruby>人口<rt>じんこう</rt></ruby> <ruby>密度<rt>みつど</rt></ruby>が <ruby>高<rt>たか</rt></ruby>いです。,Tokyo is densely populated.,
密集<div class="hint">crowd; swarm</div>,みっしゅう,crowd; swarm,この <ruby>辺<rt>へん</rt></ruby>は <ruby>住宅<rt>じゅうたく</rt></ruby>が <ruby>密集<rt>みっしゅう</rt></ruby>しています。,Houses are crowded together around here.,
親密<div class="hint">close; intimate</div>,しんみつ,close; intimate,<ruby>二人<rt>ふたり</rt></ruby>は <ruby>手<rt>て</rt></ruby>をつないで <ruby>親密<rt>しんみつ</rt></ruby>そうだったよ。,Both of them were holding hands and looked quite intimate.,
密接<div class="hint">closeness; intimacy</div>,みっせつ,closeness; intimacy,<ruby>心<rt>こころ</rt></ruby>と <ruby>体<rt>からだ</rt></ruby>は <ruby>密接<rt>みっせつ</rt></ruby>な <ruby>関係<rt>かんけい</rt></ruby>にある。,The mind and body have a close relationship.,
精密<div class="hint">accuracy; precision</div>,せいみつ,accuracy; precision,この <ruby>地図<rt>ちず</rt></ruby>はとても <ruby>精密<rt>せいみつ</rt></ruby>だ。,This map is very precise.,
精通<div class="hint">informed; thorough knowledge of</div>,せいつう,informed; thorough knowledge of,<ruby>彼女<rt>かのじょ</rt></ruby>はロシア <ruby>文学<rt>ぶんがく</rt></ruby>に <ruby>精通<rt>せいつう</rt></ruby>している。,She is well-versed in Russian literature.,
精一杯<div class="hint">with all one's might</div>,せいいっぱい,with all one's might,<ruby>精一杯<rt>せいいっぱい</rt></ruby> <ruby>頑張<rt>がんば</rt></ruby>りました。,I did my utmost.,
厳密<div class="hint">strict</div>,げんみつ,strict,<ruby>厳密<rt>げんみつ</rt></ruby>に <ruby>言<rt>い</rt></ruby>えばあなたのしたことは <ruby>法律<rt>ほうりつ</rt></ruby> <ruby>違反<rt>いはん</rt></ruby>です。,Strictly speaking; what you did violates the law.,
厳格<div class="hint">stern; strict</div>,げんかく,stern; strict,その <ruby>学校<rt>がっこう</rt></ruby>には <ruby>厳格<rt>げんかく</rt></ruby>な <ruby>規則<rt>きそく</rt></ruby>があります。,There are strict rules at the school.,
貴族<div class="hint">nobility; noble</div>,きぞく,nobility; noble,<ruby>彼<rt>かれ</rt></ruby>の <ruby>先祖<rt>せんぞ</rt></ruby>は <ruby>貴族<rt>きぞく</rt></ruby>だったそうだ。,I hear that his ancestors were aristocrats.,
遺産<div class="hint">bequest; inheritance</div>,いさん,bequest; inheritance,<ruby>彼<rt>かれ</rt></ruby>は <ruby>莫大<rt>ばくだい</rt></ruby>な <ruby>遺産<rt>いさん</rt></ruby>を <ruby>残<rt>のこ</rt></ruby>した。,He left an extensive legacy.,
アピール<div class="hint">appeal; attraction</div>,あぴーる,appeal; attraction,<ruby>着物<rt>きもの</rt></ruby>は <ruby>日本<rt>にほん</rt></ruby> <ruby>女性<rt>じょせい</rt></ruby>の <ruby>魅力<rt>みりょく</rt></ruby>をアピールします。,The kimono brings out the charm of a Japanese woman.,
遺体<div class="hint">body; remains</div>,いたい,body; remains,<ruby>川岸<rt>かわぎし</rt></ruby>で <ruby>男性<rt>だんせい</rt></ruby>の <ruby>遺体<rt>いたい</rt></ruby>が <ruby>発見<rt>はっけん</rt></ruby>されました。,A man's remains were discovered on the riverbank.,
遺言<div class="hint">testament; will</div>,ゆいごん,testament; will,ちゃんと <ruby>遺言<rt>ゆいごん</rt></ruby>を <ruby>書<rt>か</rt></ruby>くことは <ruby>重要<rt>じゅうよう</rt></ruby>です。,It is important to write a proper will.,
遺跡<div class="hint">remains; ruins</div>,いせき,remains; ruins,<ruby>私<rt>わたし</rt></ruby>たちは 2000 <ruby>年<rt>ねん</rt></ruby> <ruby>前<rt>まえ</rt></ruby>の <ruby>遺跡<rt>いせき</rt></ruby>を <ruby>見学<rt>けんがく</rt></ruby>した。,We visited 2;000 year old ruins.,
寄生<div class="hint">parasite</div>,きせい,parasite,その <ruby>虫<rt>むし</rt></ruby>は <ruby>動物<rt>どうぶつ</rt></ruby>に <ruby>寄生<rt>きせい</rt></ruby>する。,This insect is parasitic to animals.,
取り寄せる<div class="hint">get; order</div>,とりよせる,get; order,<ruby>郷里<rt>きょうり</rt></ruby>からカニを <ruby>取り<ruby>寄<rt>とりよ</rt></ruby>せました。,I had a crab sent from my hometown.,
職歴<div class="hint">one's professional experience</div>,しょくれき,one's professional experience,この <ruby>書類<rt>しょるい</rt></ruby>に <ruby>職歴<rt>しょくれき</rt></ruby>を <ruby>記入<rt>きにゅう</rt></ruby>して <ruby>下<rt>くだ</rt></ruby>さい。,Please fill in your career history on this form.,
史上<div class="hint">historically</div>,しじょう,historically,<ruby>彼<rt>かれ</rt></ruby>は <ruby>史上<rt>しじょう</rt></ruby>に <ruby>名<rt>な</rt></ruby>を <ruby>残<rt>のこ</rt></ruby>す <ruby>名<rt>めい</rt></ruby> <ruby>選手<rt>せんしゅ</rt></ruby>だった。,He was a great player who left his name in history.,
紀元<div class="hint">era</div>,きげん,era,このお <ruby>皿<rt>さら</rt></ruby>は <ruby>紀元前<rt>きげんぜん</rt></ruby>の <ruby>物<rt>もの</rt></ruby>です。,This plate predates Christ.,
王子<div class="hint">prince</div>,おうじ,prince,その <ruby>王子<rt>おうじ</rt></ruby>は <ruby>国民<rt>こくみん</rt></ruby>に <ruby>愛<rt>あい</rt></ruby>されている。,The prince is loved by the people.,
王国<div class="hint">kingdom; monarchy</div>,おうこく,kingdom; monarchy,スウェーデンやオランダは <ruby>王国<rt>おうこく</rt></ruby>です。,Sweden and the Netherlands are kingdoms.,
女王<div class="hint">belle; queen</div>,じょおう,belle; queen,<ruby>女王<rt>じょおう</rt></ruby>が <ruby>国民<rt>こくみん</rt></ruby>に <ruby>挨拶<rt>あいさつ</rt></ruby>をした。,The queen greeted the people.,
王者<div class="hint">king; monarch</div>,おうじゃ,king; monarch,<ruby>彼<rt>かれ</rt></ruby>はボクシング <ruby>界<rt>かい</rt></ruby>の <ruby>王者<rt>おうじゃ</rt></ruby>です。,He is the king of boxing.,
王女<div class="hint">Royal princess</div>,おうじょ,Royal princess,<ruby>王女<rt>おうじょ</rt></ruby>は <ruby>国王<rt>こくおう</rt></ruby>にそっくりだ。,The princess looks just like the king.,
宝<div class="hint">riches; treasure</div>,たから,riches; treasure,この <ruby>絵<rt>え</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>の <ruby>宝<rt>たから</rt></ruby>です。,This picture is my treasure.,
シナリオ<div class="hint">scenario</div>,しなりお,scenario,まだシナリオを <ruby>全部<rt>ぜんぶ</rt></ruby> <ruby>読<rt>よ</rt></ruby>んでいない。,I still haven't read all the scripts.,
重宝<div class="hint">convenience; handiness</div>,ちょうほう,convenience; handiness,この <ruby>道具<rt>どうぐ</rt></ruby>はとても <ruby>重宝<rt>ちょうほう</rt></ruby>する。,This tool is very useful.,
国宝<div class="hint">national treasure</div>,こくほう,national treasure,<ruby>国宝<rt>こくほう</rt></ruby>の <ruby>絵<rt>え</rt></ruby>を <ruby>見<rt>み</rt></ruby>てきました。,I saw a picture that is a national treasure.,
宝くじ<div class="hint">public lottery</div>,たからくじ,public lottery,<ruby>宝<rt>たから</rt></ruby>くじで 100 <ruby>万<rt>まん</rt></ruby> <ruby>円<rt>えん</rt></ruby> <ruby>当<rt>あ</rt></ruby>たりました。,I won one million yen in the lottery.,
改築<div class="hint">rebuilding; remodeling</div>,かいちく,rebuilding; remodeling,そのホテルは <ruby>一部<rt>いちぶ</rt></ruby>を <ruby>改築<rt>かいちく</rt></ruby> <ruby>中<rt>ちゅう</rt></ruby>です。,Part of the hotel is being rebuilt.,
築く<div class="hint">build; erect</div>,きずく,build; erect,<ruby>彼<rt>かれ</rt></ruby>らは <ruby>深<rt>ふか</rt></ruby>い <ruby>友情<rt>ゆうじょう</rt></ruby>を <ruby>築<rt>きず</rt></ruby>いてきた。,They have built a deep friendship.,
機構<div class="hint">mechanism; organization</div>,きこう,mechanism; organization,その <ruby>国<rt>くに</rt></ruby>ではまだ <ruby>流通<rt>りゅうつう</rt></ruby> <ruby>機構<rt>きこう</rt></ruby>が <ruby>確立<rt>かくりつ</rt></ruby>されていない。,The distribution system has not been established in that country yet.,
学位<div class="hint">academic degree</div>,がくい,academic degree,<ruby>彼<rt>かれ</rt></ruby>は <ruby>医学<rt>いがく</rt></ruby> <ruby>博士<rt>はかせ</rt></ruby>の <ruby>学位<rt>がくい</rt></ruby>を <ruby>取<rt>と</rt></ruby>りました。,He obtained a Doctor of Medicine degree.,
方位<div class="hint">bearing; direction</div>,ほうい,bearing; direction,<ruby>船乗<rt>ふなの</rt></ruby>りは <ruby>星<rt>ほし</rt></ruby>で <ruby>方位<rt>ほうい</rt></ruby>が <ruby>分<rt>わ</rt></ruby>かります。,Sailors can get their bearings from the stars.,
配置<div class="hint">arrangement; posting</div>,はいち,arrangement; posting,<ruby>引越<rt>ひっこ</rt></ruby>しの <ruby>前<rt>まえ</rt></ruby>に <ruby>家具<rt>かぐ</rt></ruby>の <ruby>配置<rt>はいち</rt></ruby>を <ruby>考<rt>かんが</rt></ruby>えておきましょう。,Let's consider the arrangement of the furniture before moving house.,
置物<div class="hint">ornament</div>,おきもの,ornament,この <ruby>置物<rt>おきもの</rt></ruby>は <ruby>銀<rt>ぎん</rt></ruby>でできています。,This ornament is made of silver.,
近距離<div class="hint">short distance</div>,きんきょり,short distance,<ruby>会社<rt>かいしゃ</rt></ruby>は <ruby>家<rt>いえ</rt></ruby>から <ruby>近距離<rt>きんきょり</rt></ruby>のところにあります。,The company is a short distance from the house.,
遠距離<div class="hint">long distance</div>,えんきょり,long distance,<ruby>彼<rt>かれ</rt></ruby>は <ruby>遠距離<rt>えんきょり</rt></ruby> <ruby>通勤<rt>つうきん</rt></ruby>をしています。,He is commuting a long distance.,
周期<div class="hint">cycle; period</div>,しゅうき,cycle; period,<ruby>地球<rt>ちきゅう</rt></ruby>は <ruby>約<rt>やく</rt></ruby> 1 <ruby>年<rt>ねん</rt></ruby>の <ruby>周期<rt>しゅうき</rt></ruby>で <ruby>太陽<rt>たいよう</rt></ruby>の <ruby>周<rt>まわ</rt></ruby>りを <ruby>一周<rt>いっしゅう</rt></ruby>する。,The earth takes approximately one year to go around the sun once.,
海辺<div class="hint">beach; seaside</div>,うみべ,beach; seaside,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>家<rt>いえ</rt></ruby>は <ruby>海辺<rt>うみべ</rt></ruby>にある。,Her house is on the beach.,
レギュラー<div class="hint">regular player</div>,れぎゅらー,regular player,<ruby>彼<rt>かれ</rt></ruby>はサッカーチームのレギュラー <ruby>選手<rt>せんしゅ</rt></ruby>です。,He is a regular on the soccer team.,
規範<div class="hint">norm; standard</div>,きはん,norm; standard,<ruby>彼<rt>かれ</rt></ruby>の <ruby>行為<rt>こうい</rt></ruby>は <ruby>規範<rt>きはん</rt></ruby>に <ruby>反<rt>はん</rt></ruby>しています。,His behavior goes against the norm.,
黄金<div class="hint">gold; money</div>,おうごん,gold; money,その <ruby>冠<rt>かんむり</rt></ruby>は <ruby>黄金<rt>おうごん</rt></ruby>でできている。,The crown is made of gold.,
不断<div class="hint">constant</div>,ふだん,constant,<ruby>彼<rt>かれ</rt></ruby>の <ruby>不断<rt>ふだん</rt></ruby>の <ruby>努力<rt>どりょく</rt></ruby>が <ruby>実<rt>み</rt></ruby>を <ruby>結<rt>むす</rt></ruby>んだ。,His tireless effort paid off.,
無断<div class="hint">without notice</div>,むだん,without notice,<ruby>無断<rt>むだん</rt></ruby> <ruby>駐車<rt>ちゅうしゃ</rt></ruby>はお <ruby>断<rt>ことわ</rt></ruby>りします。,No unauthorized parking allowed here.,
切断<div class="hint">cut; severance</div>,せつだん,cut; severance,ロープが <ruby>切断<rt>せつだん</rt></ruby>された。,The rope was severed.,
断然<div class="hint">decisively; resolutely</div>,だんぜん,decisively; resolutely,このプランの <ruby>方<rt>ほう</rt></ruby>が <ruby>断然<rt>だんぜん</rt></ruby>お <ruby>得<rt>とく</rt></ruby>です。,This plan is a better deal by far.,
決断<div class="hint">decision</div>,けつだん,decision,<ruby>私<rt>わたし</rt></ruby>は <ruby>彼<rt>かれ</rt></ruby>の <ruby>決断<rt>けつだん</rt></ruby>に <ruby>賛成<rt>さんせい</rt></ruby>です。,I agree with his decision.,
西欧<div class="hint">the West; West Europe</div>,せいおう,the West; West Europe,<ruby>私<rt>わたし</rt></ruby>は <ruby>西欧<rt>せいおう</rt></ruby>の <ruby>歴史<rt>れきし</rt></ruby>を <ruby>研究<rt>けんきゅう</rt></ruby>しています。,I am researching the history of Western Europe.,
上陸<div class="hint">disembarkation; landing</div>,じょうりく,disembarkation; landing,<ruby>上陸<rt>じょうりく</rt></ruby>するのは 3 ヶ<ruby>月<rt>かげつ</rt></ruby>ぶりだ。,It has been three months since they came ashore.,
