鬘<div class="hint">toupee; wig</div>,かつら,toupee; wig,<ruby>彼<rt>かれ</rt></ruby>はかつらをつけているらしい。,He seems to be wearing a wig.,
背骨<div class="hint">backbone; spine</div>,せぼね,backbone; spine,<ruby>彼<rt>かれ</rt></ruby>は <ruby>少<rt>すこ</rt></ruby>し <ruby>背骨<rt>せぼね</rt></ruby>が <ruby>曲<rt>ま</rt></ruby>がっている。,His spine is a little curved.,
滑走路<div class="hint">runway</div>,かっそうろ,runway,<ruby>飛行機<rt>ひこうき</rt></ruby>が <ruby>滑走<rt>かっそう</rt></ruby> <ruby>路<rt>ろ</rt></ruby>を <ruby>走<rt>はし</rt></ruby>っている。,The airplane is taxiing on the runway.,
屈折<div class="hint">bending; refraction</div>,くっせつ,bending; refraction,<ruby>光<rt>ひかり</rt></ruby>の <ruby>屈折<rt>くっせつ</rt></ruby>の <ruby>実験<rt>じっけん</rt></ruby>をしました。,I experimented with the refraction of light.,
折り返す<div class="hint">turn back; turn up</div>,おりかえす,turn back; turn up,「 <ruby>通行止<rt>つうこうど</rt></ruby>め」のため <ruby>仕方<rt>しかた</rt></ruby>なく <ruby>折り<ruby>返<rt>おりかえ</rt></ruby>した。,I had to turn back due to the &quot;No through road&quot; sign.,
がらりと<div class="hint">suddenly</div>,がらりと,suddenly,<ruby>戸<rt>と</rt></ruby>ががらりと <ruby>開<rt>ひら</rt></ruby>いた。,The door opened noisily.,
折紙<div class="hint">origami; paper for folding</div>,おりがみ,origami; paper for folding,<ruby>折紙<rt>おりがみ</rt></ruby>で <ruby>鶴<rt>つる</rt></ruby>を <ruby>折<rt>お</rt></ruby>りました。,I made an origami crane out of paper.,
健気<div class="hint">brave; praiseworthy</div>,けなげ,brave; praiseworthy,その <ruby>子供<rt>こども</rt></ruby>のけなげな <ruby>姿<rt>すがた</rt></ruby>に <ruby>感動<rt>かんどう</rt></ruby>した。,I was moved by the child's brave appearance.,
珍紛漢紛<div class="hint">gibberish</div>,ちんぷんかんぷん,gibberish,ドイツ <ruby>語<rt>ご</rt></ruby>はちんぷんかんぷんです。,German is like double-Dutch to me.,
食中毒<div class="hint">food poisoning</div>,しょくちゅうどく,food poisoning,<ruby>夏場<rt>なつば</rt></ruby>は <ruby>食中毒<rt>しょくちゅうどく</rt></ruby>の <ruby>発生<rt>はっせい</rt></ruby>が <ruby>増<rt>ふ</rt></ruby>える。,Cases of food poisoning increase in the summer.,
毒薬<div class="hint">poisonous drug</div>,どくやく,poisonous drug,<ruby>彼<rt>かれ</rt></ruby>は <ruby>毒薬<rt>どくやく</rt></ruby>を <ruby>飲<rt>の</rt></ruby>まされた。,He was made to take the poison.,
清々しい<div class="hint">fresh</div>,すがすがしい,fresh,すがすがしい <ruby>季節<rt>きせつ</rt></ruby>になりました。,This is a refreshing time of year.,
清らか<div class="hint">clean; pure</div>,きよらか,clean; pure,あの <ruby>子<rt>こ</rt></ruby>は <ruby>清<rt>きよ</rt></ruby>らかな <ruby>心<rt>こころ</rt></ruby>の <ruby>持ち<ruby>主<rt>もちぬし</rt></ruby>です。,That child is pure of heart.,
清い<div class="hint">clean; honest</div>,きよい,clean; honest,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>清<rt>きよ</rt></ruby>い <ruby>心<rt>こころ</rt></ruby>の <ruby>持ち<ruby>主<rt>もちぬし</rt></ruby>です。,She has a pure mind.,
潔白<div class="hint">innocent; pure</div>,けっぱく,innocent; pure,<ruby>裁判<rt>さいばん</rt></ruby>で <ruby>彼<rt>かれ</rt></ruby>の <ruby>潔白<rt>けっぱく</rt></ruby>が <ruby>証明<rt>しょうめい</rt></ruby>された。,His innocence was proven in the trial.,
ぶっきらぼう<div class="hint">brusque; curt</div>,ぶっきらぼう,brusque; curt,<ruby>彼<rt>かれ</rt></ruby>はぶっきらぼうな <ruby>性格<rt>せいかく</rt></ruby>です。,He has a grumpy personality.,
潔く<div class="hint">bravely</div>,いさぎよく,bravely,<ruby>潔<rt>いさぎよ</rt></ruby>く <ruby>負<rt>ま</rt></ruby>けを <ruby>認<rt>みと</rt></ruby>めるべきです。,You should admit defeat with a brave face.,
潔い<div class="hint">gallant; manly</div>,いさぎよい,gallant; manly,<ruby>彼<rt>かれ</rt></ruby>の <ruby>潔<rt>いさぎよ</rt></ruby>い <ruby>態度<rt>たいど</rt></ruby>に <ruby>好感<rt>こうかん</rt></ruby>を <ruby>持<rt>も</rt></ruby>ちました。,I was impressed by his brave attitude.,
見放す<div class="hint">abandon; desert</div>,みはなす,abandon; desert,<ruby>彼<rt>かれ</rt></ruby>はとうとう <ruby>親<rt>おや</rt></ruby>にまで <ruby>見放<rt>みはな</rt></ruby>されてしまった。,In the end; he has been deserted even by his parents.,
放れる<div class="hint">get free</div>,はなれる,get free,<ruby>子供<rt>こども</rt></ruby>が <ruby>育<rt>そだ</rt></ruby>って <ruby>親<rt>おや</rt></ruby>の <ruby>手<rt>て</rt></ruby>を <ruby>放<rt>はな</rt></ruby>れた。,The child grew up and became independent of his parents.,
軽視<div class="hint">neglect</div>,けいし,neglect,この <ruby>問題<rt>もんだい</rt></ruby>は <ruby>軽視<rt>けいし</rt></ruby>できない。,This problem cannot be disregarded.,
直視<div class="hint">direct look</div>,ちょくし,direct look,<ruby>問題<rt>もんだい</rt></ruby>を <ruby>解決<rt>かいけつ</rt></ruby>するには <ruby>現実<rt>げんじつ</rt></ruby>を <ruby>直視<rt>ちょくし</rt></ruby>することが <ruby>大切<rt>たいせつ</rt></ruby>だ。,Looking straight at the facts is important when solving problems.,
装う<div class="hint">dress oneself; make up</div>,よそおう,dress oneself; make up,<ruby>彼<rt>かれ</rt></ruby>は <ruby>平静<rt>へいせい</rt></ruby>を <ruby>装<rt>よそお</rt></ruby>った。,He gave the appearance of calmness.,
銅像<div class="hint">bronze statue</div>,どうぞう,bronze statue,<ruby>中庭<rt>なかにわ</rt></ruby>に <ruby>創立<rt>そうりつ</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>の <ruby>銅像<rt>どうぞう</rt></ruby>があります。,There is a bronze statue of the founder in the courtyard.,
ざわざわ<div class="hint">murmuring; noisy</div>,ざわざわ,murmuring; noisy,<ruby>会場<rt>かいじょう</rt></ruby>がざわざわしている。,The hall is buzzing with excitement.,
演ずる<div class="hint">perform</div>,えんずる,perform,<ruby>主役<rt>しゅやく</rt></ruby>を <ruby>演<rt>えん</rt></ruby>ずるのは <ruby>新人<rt>しんじん</rt></ruby> <ruby>俳優<rt>はいゆう</rt></ruby>だ。,The lead role is played by a newcomer.,
悲観<div class="hint">pessimism</div>,ひかん,pessimism,<ruby>彼<rt>かれ</rt></ruby>は <ruby>会社<rt>かいしゃ</rt></ruby>の <ruby>将来<rt>しょうらい</rt></ruby>を <ruby>悲観<rt>ひかん</rt></ruby>している。,He is taking a pessimistic view of the future of the company.,
悲観的<div class="hint">pessimistic</div>,ひかんてき,pessimistic,あの <ruby>人<rt>ひと</rt></ruby>は <ruby>悲観<rt>ひかん</rt></ruby> <ruby>的<rt>てき</rt></ruby>な <ruby>人<rt>ひと</rt></ruby>です。,That person is a pessimist.,
公団<div class="hint">public corporation</div>,こうだん,public corporation,<ruby>私<rt>わたし</rt></ruby>は <ruby>公団<rt>こうだん</rt></ruby> <ruby>住宅<rt>じゅうたく</rt></ruby>に <ruby>住<rt>す</rt></ruby>んでいます。,I live in a public housing apartment.,
団結<div class="hint">union; unity</div>,だんけつ,union; unity,そのプロジェクトはチームが <ruby>団結<rt>だんけつ</rt></ruby>すればうまくいくでしょう。,The project will go well if the team works together as one.,
固苦しい<div class="hint">formal; strict</div>,かたくるしい,formal; strict,<ruby>固<rt>かた</rt></ruby> <ruby>苦<rt>くる</rt></ruby>しい <ruby>挨拶<rt>あいさつ</rt></ruby>は <ruby>抜<rt>ぬ</rt></ruby>きにしましょう。,Let's cut out the formal greetings.,
賛美<div class="hint">admiration; praise</div>,さんび,admiration; praise,<ruby>多<rt>おお</rt></ruby>くの <ruby>人<rt>ひと</rt></ruby>が <ruby>彼<rt>かれ</rt></ruby>を <ruby>賛美<rt>さんび</rt></ruby>しています。,A lot of people admire him.,
博愛<div class="hint">philanthropy</div>,はくあい,philanthropy,<ruby>彼<rt>かれ</rt></ruby>は <ruby>博愛<rt>はくあい</rt></ruby> <ruby>精神<rt>せいしん</rt></ruby>の <ruby>持ち<ruby>主<rt>もちぬし</rt></ruby>だ。,He is a philanthropist.,
品詞<div class="hint">part of speech</div>,ひんし,part of speech,「 <ruby>動<rt>うご</rt></ruby>く」の <ruby>品詞<rt>ひんし</rt></ruby>は <ruby>動詞<rt>どうし</rt></ruby>です。,&quot;Move&quot; is a verb.,
ぱちぱち<div class="hint">crackle</div>,ぱちぱち,crackle,<ruby>炎<rt>ほのお</rt></ruby>がぱちぱちと <ruby>音<rt>おと</rt></ruby>をたてた。,The flames crackled.,
聴講<div class="hint">attendance of a lecture</div>,ちょうこう,attendance of a lecture,その <ruby>教授<rt>きょうじゅ</rt></ruby>の <ruby>授業<rt>じゅぎょう</rt></ruby>を <ruby>聴講<rt>ちょうこう</rt></ruby>した。,I attended that professor's lecture.,
講和<div class="hint">peace; reconciliation</div>,こうわ,peace; reconciliation,1919 <ruby>年<rt>ねん</rt></ruby>にパリで <ruby>講和<rt>こうわ</rt></ruby> <ruby>会議<rt>かいぎ</rt></ruby>が <ruby>開<rt>ひら</rt></ruby>かれた。,The peace conference was held in Paris in 1919.,
授ける<div class="hint">confer; give</div>,さずける,confer; give,その <ruby>王子<rt>おうじ</rt></ruby>に <ruby>王冠<rt>おうかん</rt></ruby>が <ruby>授<rt>さづ</rt></ruby>けられた。,The crown was given to the prince.,
お手伝いさん<div class="hint">house maid; maid</div>,おてつだいさん,house maid; maid,そのお <ruby>手伝<rt>てつだ</rt></ruby>いさんはとてもよく <ruby>働<rt>はたら</rt></ruby>く。,The maid works very hard.,
伝う<div class="hint">follow; go along</div>,つたう,follow; go along,<ruby>涙<rt>なみだ</rt></ruby>が <ruby>頬<rt>ほお</rt></ruby>を <ruby>伝<rt>つた</rt></ruby>って <ruby>流<rt>なが</rt></ruby>れた。,Tears streamed down her cheeks.,
怒鳴る<div class="hint">shout; yell</div>,どなる,shout; yell,つまらないミスを <ruby>繰り<ruby>返<rt>くりかえ</rt></ruby>して <ruby>部長<rt>ぶちょう</rt></ruby>に <ruby>怒鳴<rt>どな</rt></ruby>られた。,I was shouted at by the director for repeating trivial mistakes.,
発声<div class="hint">vocalization</div>,はっせい,vocalization,<ruby>今<rt>いま</rt></ruby> <ruby>発声<rt>はっせい</rt></ruby>を <ruby>基礎<rt>きそ</rt></ruby>から <ruby>勉強<rt>べんきょう</rt></ruby>しています。,I am studying the basics of sound production now.,
物騒<div class="hint">dangerous; insecure</div>,ぶっそう,dangerous; insecure,<ruby>今<rt>いま</rt></ruby>はこの <ruby>辺<rt>へん</rt></ruby>も <ruby>物騒<rt>ぶっそう</rt></ruby>になった。,It has become dangerous around here now.,
騒めく<div class="hint">be noisy</div>,ざわめく,be noisy,<ruby>教室<rt>きょうしつ</rt></ruby>がざわめいた。,The classroom was noisy.,
しゃっくり<div class="hint">hiccough; hiccup</div>,しゃっくり,hiccough; hiccup,しゃっくりが <ruby>止<rt>と</rt></ruby>まらない。,The hiccups won't stop.,
風刺<div class="hint">sarcasm; satire</div>,ふうし,sarcasm; satire,<ruby>彼<rt>かれ</rt></ruby>は <ruby>政治<rt>せいじ</rt></ruby> <ruby>家<rt>か</rt></ruby>を <ruby>風刺<rt>ふうし</rt></ruby>するので <ruby>有名<rt>ゆうめい</rt></ruby>だ。,He is famous because he lampoons politicians.,
興す<div class="hint">cause to rise</div>,おこす,cause to rise,<ruby>多<rt>おお</rt></ruby>くの <ruby>市<rt>し</rt></ruby>が <ruby>新<rt>あたら</rt></ruby>しい <ruby>産業<rt>さんぎょう</rt></ruby>を <ruby>興<rt>おこ</rt></ruby>そうと <ruby>努力<rt>どりょく</rt></ruby>している。,A lot of cities are trying to revive their fortunes with new industries.,
お神興<div class="hint">portable shrine</div>,おみこし,portable shrine,<ruby>祭<rt>まつ</rt></ruby>りでおみこしが <ruby>出<rt>で</rt></ruby>ている。,The portable shrine is brought out at the festival.,
奮発<div class="hint">effort; treat</div>,ふんぱつ,effort; treat,<ruby>今日<rt>きょう</rt></ruby>は <ruby>奮発<rt>ふんぱつ</rt></ruby>して <ruby>高級<rt>こうきゅう</rt></ruby>レストランに <ruby>行<rt>い</rt></ruby>った。,I pulled out all the stops and went to a classy restaurant today.,
奮う<div class="hint">rouse up</div>,ふるう,rouse up,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>勇気<rt>ゆうき</rt></ruby>を <ruby>奮<rt>ふる</rt></ruby>って <ruby>告白<rt>こくはく</rt></ruby>した。,She plucked up courage and confessed.,
冬至<div class="hint">winter solstice</div>,とうじ,winter solstice,<ruby>冬至<rt>とうじ</rt></ruby>にはお <ruby>風呂<rt>ふろ</rt></ruby>にゆずを <ruby>入<rt>い</rt></ruby>れる。,We put yuzu citrus fruits in the bath at the winter solstice.,
倒置<div class="hint">inversion</div>,とうち,inversion,<ruby>意味<rt>いみ</rt></ruby>を <ruby>強調<rt>きょうちょう</rt></ruby>するため <ruby>主語<rt>しゅご</rt></ruby>と <ruby>述語<rt>じゅつご</rt></ruby>を <ruby>倒置<rt>とうち</rt></ruby>した。,To emphasize the meaning; he inverted the subject and the predicate.,
傾げる<div class="hint">incline; lean</div>,かしげる,incline; lean,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>首<rt>くび</rt></ruby>をかしげながら <ruby>笑<rt>わら</rt></ruby>った。,She smiled and tilted her head in doubt.,
硬貨<div class="hint">coin</div>,こうか,coin,この <ruby>自動<rt>じどう</rt></ruby> <ruby>販売<rt>はんばい</rt></ruby> <ruby>機<rt>き</rt></ruby>は <ruby>硬貨<rt>こうか</rt></ruby>しか <ruby>使<rt>つか</rt></ruby>えません。,This vending machine can take only the coins.,
アンダーライン<div class="hint">underline</div>,あんだーらいん,underline,<ruby>重要<rt>じゅうよう</rt></ruby>な <ruby>部分<rt>ぶぶん</rt></ruby>にアンダーラインを <ruby>引<rt>ひ</rt></ruby>いてください。,Underline the important sections.,
軟化<div class="hint">softening; weakening</div>,なんか,softening; weakening,<ruby>最近<rt>さいきん</rt></ruby> <ruby>彼<rt>かれ</rt></ruby>の <ruby>態度<rt>たいど</rt></ruby>が <ruby>軟化<rt>なんか</rt></ruby>してきた。,His attitude has softened recently.,
見張る<div class="hint">guard; watch</div>,みはる,guard; watch,<ruby>彼<rt>かれ</rt></ruby>が <ruby>逃<rt>に</rt></ruby>げないように <ruby>見張<rt>みは</rt></ruby>っていてください。,Please keep watch so that he won't run away.,
張本人<div class="hint">author; originator</div>,ちょうほんにん,author; originator,その <ruby>男<rt>おとこ</rt></ruby>が <ruby>事件<rt>じけん</rt></ruby>の <ruby>張本人<rt>ちょうほんにん</rt></ruby>だ。,The man was the ringleader of the incident.,
張り出す<div class="hint">jut out; project</div>,はりだす,jut out; project,<ruby>関東<rt>かんとう</rt></ruby> <ruby>地方<rt>ちほう</rt></ruby> <ruby>上空<rt>じょうくう</rt></ruby>に <ruby>高気圧<rt>こうきあつ</rt></ruby>が <ruby>張り<ruby>出<rt>はりだ</rt></ruby>しています。,High atmospheric pressure is stretching over the Kanto region.,
強張る<div class="hint">become stiff; stiffen</div>,こわばる,become stiff; stiffen,<ruby>余<rt>あま</rt></ruby>りの <ruby>恐怖<rt>きょうふ</rt></ruby>に <ruby>体<rt>からだ</rt></ruby>が <ruby>強<rt>こわ</rt></ruby> <ruby>張<rt>ば</rt></ruby>った。,My body went stiff with such terror.,
突く<div class="hint">pierce; poke; push</div>,つつく,pierce; poke; push,<ruby>子供<rt>こども</rt></ruby>が <ruby>棒<rt>ぼう</rt></ruby>で <ruby>何<rt>なに</rt></ruby>かをつついている。,The child is poking something with the stick.,
突き抜ける<div class="hint">go through; penetrate</div>,つきぬける,go through; penetrate,<ruby>釘<rt>くぎ</rt></ruby>が <ruby>壁<rt>かべ</rt></ruby>を <ruby>突き<ruby>抜<rt>つきぬ</rt></ruby>けてしまった。,The nail has pierced through the wall.,
